Code,Name,Slug,Image ,Parent Category Code (optional),Description
Computers,Computers,Computers,,,Computers
PROJ-1120-GP80,Projectors,item-1,,Computers,Projectors
iCODPRJ0708,Projectors,item-2,,Computers,Projectors
ONEMXPRJ0708,Projectors,item-3,,Computers,Projectors
MINIPR0827,Projectors,item-4,,Computers,Projectors
DRJ-1020-PROJ,Projectors,item-5,,Computers,Projectors
VANK-0121-L510,Projectors,item-7,,Computers,Projectors
QKK-1220-20,Projectors,item-8,,Computers,Projectors
BENQ-0121-M612,Projectors,item-9,,Computers,Projectors
VAMV-0905-LED,Projectors,item-10,,Computers,Projectors
FOSAPRJ0708,Projectors,item-11,,Computers,Projectors
APE-1020-LC350,Projectors,item-12,,Computers,Projectors
HAVWI0615,Keyboard and Mouse Combos,item-13,,Computers,Keyboard and Mouse Combos
SKU-JOY-A14-131624,Keyboard and Mouse Combos,item-14,,Computers,Keyboard and Mouse Combos
LANGT0615,Keyboard and Mouse Combos,item-15,,Computers,Keyboard and Mouse Combos